"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
1-06-20,"Castle Hayne","New Hanover",34.364167,-77.838611,6,1,13,NA
1-06-20,"Clemmons Middle","Forsyth",36.026,-80.342,6,1,25,NA
1-06-20,"Durham Armory","Durham",36.0329550008979,-78.904037,6,1,29.3333333333333,NA
1-06-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,1,NA,40
1-06-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,6,1,32.25,30.5
1-06-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,6,1,15.6666666666667,NA
1-06-20,"Leggett","Edgecombe",35.988278,-77.5843,6,1,7,NA
1-06-20,"Linville Falls","Avery",35.972347,-81.933072,6,1,4,NA
1-06-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,6,1,18,NA
1-06-20,"Millbrook School","Wake",35.856111,-78.574167,6,1,27.75,32
1-06-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,6,1,15.6666666666667,NA
1-06-20,"West Johnston Co.","Johnston",35.59095,-78.4622,6,1,28.5,33
1-07-20,"Bryson City","Swain",35.434767,-83.442133,7,1,45,NA
1-07-20,"Castle Hayne","New Hanover",34.364167,-77.838611,7,1,11,NA
1-07-20,"Clemmons Middle","Forsyth",36.026,-80.342,7,1,40.5,NA
1-07-20,"Durham Armory","Durham",36.0329550008979,-78.904037,7,1,41,NA
1-07-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,1,NA,37
1-07-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,7,1,39,29
1-07-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,7,1,26,NA
1-07-20,"Leggett","Edgecombe",35.988278,-77.5843,7,1,12.5,NA
1-07-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,7,1,30,NA
1-07-20,"Millbrook School","Wake",35.856111,-78.574167,7,1,42,31.5
1-07-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,7,1,17,NA
1-07-20,"West Johnston Co.","Johnston",35.59095,-78.4622,7,1,25,30
1-08-20,"Bryson City","Swain",35.434767,-83.442133,8,1,52,NA
1-08-20,"Castle Hayne","New Hanover",34.364167,-77.838611,8,1,9.5,NA
1-08-20,"Clemmons Middle","Forsyth",36.026,-80.342,8,1,51.5,NA
1-08-20,"Durham Armory","Durham",36.0329550008979,-78.904037,8,1,37.3333333333333,NA
1-08-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,8,1,3,42
1-08-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,8,1,42,24
1-08-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,8,1,41.25,NA
1-08-20,"Leggett","Edgecombe",35.988278,-77.5843,8,1,30.5,NA
1-08-20,"Linville Falls","Avery",35.972347,-81.933072,8,1,22,NA
1-08-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,8,1,37.5,NA
1-08-20,"Millbrook School","Wake",35.856111,-78.574167,8,1,44.5,30
1-08-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,8,1,28.6666666666667,NA
1-08-20,"West Johnston Co.","Johnston",35.59095,-78.4622,8,1,35,38
1-09-20,"Bryson City","Swain",35.434767,-83.442133,9,1,45.5,NA
